Page title is, "Subcatchment Minderhoutplus bET=1 (Minderhout+) daily, Rainfall Profile 1"
Date,Time,Soil moisture deficit (Soil moisture deficit [pdm_smd]),Actual evaporation (Actual evaporation (mm/day) [pdm_evaporation]),Rainfall (Rainfall intensity (mm/hr))
01/10/2020,00:00:00,0.900000,0.000000,0.465833
02/10/2020,00:00:00,0.883381,0.027989,0.035000
03/10/2020,00:00:00,0.882167,0.015318,0.207500
04/10/2020,00:00:00,0.874896,0.126355,0.043333
05/10/2020,00:00:00,0.873507,0.070836,0.485000
06/10/2020,00:00:00,0.856521,0.152086,0.149915
07/10/2020,00:00:00,0.851413,0.075730,0.304252
08/10/2020,00:00:00,0.840838,0.050932,0.176250
09/10/2020,00:00:00,0.834802,0.117291,0.061667
10/10/2020,00:00:00,0.832836,0.132060,0.253750
11/10/2020,00:00:00,0.824221,0.168748,0.019583
12/10/2020,00:00:00,0.823783,0.155071,0.005417
13/10/2020,00:00:00,0.823815,0.137424,0.000000
14/10/2020,00:00:00,0.823991,0.095045,0.000000
15/10/2020,00:00:00,0.824180,0.154722,0.000000
16/10/2020,00:00:00,0.824368,0.094841,0.000000
17/10/2020,00:00:00,0.824558,0.156143,0.000000
18/10/2020,00:00:00,0.824731,0.071860,0.003333
19/10/2020,00:00:00,0.824777,0.143683,0.000000
20/10/2020,00:00:00,0.824918,0.042020,0.001250
21/10/2020,00:00:00,0.825087,0.239632,0.324583
22/10/2020,00:00:00,0.814053,0.055784,0.000000
23/10/2020,00:00:00,0.814173,0.102205,0.004167
24/10/2020,00:00:00,0.814148,0.057614,0.012500
25/10/2020,00:00:00,0.813781,0.029795,0.055000
26/10/2020,00:00:00,0.812013,0.150390,0.000000
27/10/2020,00:00:00,0.812192,0.086392,0.097916
28/10/2020,00:00:00,0.808956,0.112716,0.215833
29/10/2020,00:00:00,0.801633,0.045624,0.259167
30/10/2020,00:00:00,0.792826,0.084941,0.019167
31/10/2020,00:00:00,0.792370,0.184791,0.054167
01/11/2020,00:00:00,0.790674,0.027212,0.085173
02/11/2020,00:00:00,0.787872,0.129381,0.229410
03/11/2020,00:00:00,0.780267,0.177984,0.000000
04/11/2020,00:00:00,0.780524,0.162413,0.000000
05/11/2020,00:00:00,0.780731,0.111827,0.000000
06/11/2020,00:00:00,0.780948,0.175241,0.000000
07/11/2020,00:00:00,0.781202,0.159723,0.000000
08/11/2020,00:00:00,0.781410,0.115853,0.000000
09/11/2020,00:00:00,0.781589,0.120126,0.000000
10/11/2020,00:00:00,0.781759,0.104756,0.021250
11/11/2020,00:00:00,0.781148,0.048147,0.000000
12/11/2020,00:00:00,0.781259,0.098433,0.105416
13/11/2020,00:00:00,0.777769,0.037779,0.106667
14/11/2020,00:00:00,0.774256,0.119644,0.020833
15/11/2020,00:00:00,0.773712,0.099567,0.295000
16/11/2020,00:00:00,0.763826,0.056682,0.005833
17/11/2020,00:00:00,0.763717,0.061434,0.005833
18/11/2020,00:00:00,0.763724,0.210286,0.000000
19/11/2020,00:00:00,0.763915,0.042495,0.034583
20/11/2020,00:00:00,0.762839,0.085378,0.043333
21/11/2020,00:00:00,0.761505,0.090628,0.000000
22/11/2020,00:00:00,0.761576,0.002384,0.118750
23/11/2020,00:00:00,0.757600,0.043632,0.000000
24/11/2020,00:00:00,0.757708,0.099340,0.000000
25/11/2020,00:00:00,0.757837,0.070227,0.000000
26/11/2020,00:00:00,0.757921,0.041153,0.000000
27/11/2020,00:00:00,0.757974,0.029043,0.013333
28/11/2020,00:00:00,0.757593,0.063026,0.000000
29/11/2020,00:00:00,0.757655,0.019388,0.000000
30/11/2020,00:00:00,0.757670,0.000000,0.200000
01/12/2020,00:00:00,0.750965,0.042336,0.123333
02/12/2020,00:00:00,0.746852,0.000000,0.001667
03/12/2020,00:00:00,0.746796,0.000000,0.173642
04/12/2020,00:00:00,0.741037,0.085455,0.018441
05/12/2020,00:00:00,0.740518,0.046707,0.000000
