Page title is, "Subcatchment Minderhoutplus Cal-S402, Rainfall Profile 1"
Date,Time,Soil moisture deficit (Soil moisture deficit [pdm_smd]),Actual evaporation (Actual evaporation (mm/day) [pdm_evaporation]),Rainfall (Rainfall intensity (mm/hr))
01/10/2020,00:00:00,0.900000,0.000000,0.000000
01/10/2020,01:00:00,0.900002,0.024507,0.000000
01/10/2020,02:00:00,0.900004,0.025857,0.000000
01/10/2020,03:00:00,0.900006,0.027208,0.000000
01/10/2020,04:00:00,0.900009,0.028558,0.266439
01/10/2020,05:00:00,0.899480,0.030050,0.013561
01/10/2020,06:00:00,0.899456,0.031418,0.323533
01/10/2020,07:00:00,0.898814,0.032963,1.186896
01/10/2020,08:00:00,0.896454,0.035050,0.297463
01/10/2020,09:00:00,0.895865,0.036650,1.268178
01/10/2020,10:00:00,0.893346,0.038878,0.958404
01/10/2020,11:00:00,0.891445,0.040974,0.140683
01/10/2020,12:00:00,0.891169,0.042545,0.080969
01/10/2020,13:00:00,0.891012,0.044064,4.913966
01/10/2020,14:00:00,0.881277,0.049114,0.478285
01/10/2020,15:00:00,0.880335,0.051151,1.172537
01/10/2020,16:00:00,0.878022,0.053648,0.078118
01/10/2020,17:00:00,0.877872,0.055353,0.000969
01/10/2020,18:00:00,0.877875,0.056975,0.000000
01/10/2020,19:00:00,0.877880,0.058594,0.000000
01/10/2020,20:00:00,0.877885,0.060213,0.000000
01/10/2020,21:00:00,0.877890,0.061832,0.000000
01/10/2020,22:00:00,0.877895,0.063450,0.000000
01/10/2020,23:00:00,0.877900,0.065069,0.000000
02/10/2020,00:00:00,0.877906,0.066687,0.000000
02/10/2020,01:00:00,0.877911,0.065411,0.000000
02/10/2020,02:00:00,0.877917,0.064135,0.000000
02/10/2020,03:00:00,0.877922,0.062859,0.000000
02/10/2020,04:00:00,0.877927,0.061583,0.000000
02/10/2020,05:00:00,0.877932,0.060308,0.000000
02/10/2020,06:00:00,0.877937,0.059032,0.000000
02/10/2020,07:00:00,0.877942,0.057757,0.000000
02/10/2020,08:00:00,0.877947,0.056482,0.000000
02/10/2020,09:00:00,0.877952,0.055207,0.000000
02/10/2020,10:00:00,0.877956,0.053932,0.000000
02/10/2020,11:00:00,0.877961,0.052657,0.180798
02/10/2020,12:00:00,0.877608,0.051514,0.113875
02/10/2020,13:00:00,0.877387,0.050321,0.005327
02/10/2020,14:00:00,0.877381,0.049047,0.000000
02/10/2020,15:00:00,0.877385,0.047767,0.028547
02/10/2020,16:00:00,0.877332,0.046506,0.324986
02/10/2020,17:00:00,0.876694,0.045434,0.016468
02/10/2020,18:00:00,0.876665,0.044164,0.038062
02/10/2020,19:00:00,0.876594,0.042901,0.097094
02/10/2020,20:00:00,0.876406,0.041672,0.004843
02/10/2020,21:00:00,0.876399,0.040387,0.028548
02/10/2020,22:00:00,0.876346,0.039115,0.001453
02/10/2020,23:00:00,0.876347,0.037827,0.000000
03/10/2020,00:00:00,0.876350,0.036538,0.000000
03/10/2020,01:00:00,0.876353,0.046842,0.000000
03/10/2020,02:00:00,0.876357,0.057145,0.000000
03/10/2020,03:00:00,0.876363,0.067448,0.000000
03/10/2020,04:00:00,0.876369,0.077749,0.038062
03/10/2020,05:00:00,0.876300,0.088095,0.135157
03/10/2020,06:00:00,0.876041,0.098587,0.729972
03/10/2020,07:00:00,0.874609,0.110022,0.607749
03/10/2020,08:00:00,0.873420,0.121490,0.200341
03/10/2020,09:00:00,0.873036,0.132394,0.284673
03/10/2020,10:00:00,0.872486,0.143500,0.385157
03/10/2020,11:00:00,0.871739,0.154899,0.142592
03/10/2020,12:00:00,0.871471,0.165874,2.166356
03/10/2020,13:00:00,0.867221,0.181634,0.281222
03/10/2020,14:00:00,0.866684,0.193443,0.008719
03/10/2020,15:00:00,0.866683,0.204490,0.000000
03/10/2020,16:00:00,0.866700,0.215492,0.000000
03/10/2020,17:00:00,0.866719,0.226489,0.000000
03/10/2020,18:00:00,0.866738,0.237482,0.000000
03/10/2020,19:00:00,0.866758,0.248471,0.000000
03/10/2020,20:00:00,0.866780,0.259455,0.000000
03/10/2020,21:00:00,0.866802,0.270434,0.000000
