Page title is," ""Subcatchment Minderhoutplus Cal-S445"," Rainfall Profile 1""",,,
Date,Time,Surface flow (Surface flow (m3/s) [pdm_surfaceflow]),Rainfall-driven baseflow (Rainfall-driven baseflow (m3/s) [pdm_baseflow]),Rainfall (Rainfall intensity (mm/hr)),
01/10/2020,00:00:00,0,0,0,0
01/10/2020,01:00:00,0,0,0,0
01/10/2020,02:00:00,0,0,0,0
01/10/2020,03:00:00,0,0,0,0
01/10/2020,04:00:00,0,0,0.266439,0
01/10/2020,05:00:00,0,0,0.013561,0
01/10/2020,06:00:00,0,0,0.323533,0
01/10/2020,07:00:00,0,0,1.186896,0
01/10/2020,08:00:00,0,0,0.297463,0
01/10/2020,09:00:00,0,0,1.268178,0
01/10/2020,10:00:00,0,0,0.958404,0
01/10/2020,11:00:00,0,0,0.140683,0
01/10/2020,12:00:00,0,0,0.080969,0
01/10/2020,13:00:00,0,0,4.913966,0
01/10/2020,14:00:00,0,0,0.478285,0
01/10/2020,15:00:00,0,0,1.172537,0
01/10/2020,16:00:00,0,0,0.078118,0
01/10/2020,17:00:00,0,0,0.000969,0
01/10/2020,18:00:00,0,0,0,0
01/10/2020,19:00:00,0,0,0,0
01/10/2020,20:00:00,0,0,0,0
01/10/2020,21:00:00,0,0,0,0
01/10/2020,22:00:00,0,0,0,0
01/10/2020,23:00:00,0,0,0,0
02/10/2020,00:00:00,0,0,0,0
02/10/2020,01:00:00,0,0,0,0
02/10/2020,02:00:00,0,0,0,0
02/10/2020,03:00:00,0,0,0,0
02/10/2020,04:00:00,0,0,0,0
02/10/2020,05:00:00,0,0,0,0
02/10/2020,06:00:00,0,0,0,0
02/10/2020,07:00:00,0,0,0,0
02/10/2020,08:00:00,0,0,0,0
02/10/2020,09:00:00,0,0,0,0
02/10/2020,10:00:00,0,0,0,0
02/10/2020,11:00:00,0,0,0.180798,0
02/10/2020,12:00:00,0,0,0.113875,0
02/10/2020,13:00:00,0,0,0.005327,0
02/10/2020,14:00:00,0,0,0,0
02/10/2020,15:00:00,0,0,0.028547,0
02/10/2020,16:00:00,0,0,0.324986,0
02/10/2020,17:00:00,0,0,0.016468,0
02/10/2020,18:00:00,0,0,0.038062,0
02/10/2020,19:00:00,0,0,0.097094,0
02/10/2020,20:00:00,0,0,0.004843,0
02/10/2020,21:00:00,0,0,0.028548,0
02/10/2020,22:00:00,0,0,0.001453,0
02/10/2020,23:00:00,0,0,0,0
03/10/2020,00:00:00,0,0,0,0
03/10/2020,01:00:00,0,0,0,0
03/10/2020,02:00:00,0,0,0,0
03/10/2020,03:00:00,0,0,0,0
03/10/2020,04:00:00,0,0,0.038062,0
03/10/2020,05:00:00,0,0,0.135157,0
03/10/2020,06:00:00,0,0,0.729972,0
03/10/2020,07:00:00,0,0,0.607749,0
03/10/2020,08:00:00,0,0,0.200341,0
03/10/2020,09:00:00,0,0,0.284673,0
03/10/2020,10:00:00,0,0,0.385157,0
03/10/2020,11:00:00,0,0,0.142592,0
03/10/2020,12:00:00,0,0,2.166356,0
03/10/2020,13:00:00,0,0,0.281222,0
03/10/2020,14:00:00,0,0,0.008719,0
03/10/2020,15:00:00,0,0,0,0
03/10/2020,16:00:00,0,0,0,0
03/10/2020,17:00:00,0,0,0,0
03/10/2020,18:00:00,0,0,0,0
03/10/2020,19:00:00,0,0,0,0
03/10/2020,20:00:00,0,0,0,0
03/10/2020,21:00:00,0,0,0,0
03/10/2020,22:00:00,0,0,0,0
03/10/2020,23:00:00,0,0,0,0
04/10/2020,00:00:00,0,0,0.057094,0
04/10/2020,01:00:00,0,0,0.002906,0
04/10/2020,02:00:00,0,0,0,0
04/10/2020,03:00:00,0.000004,0,0.399658,0.000004
04/10/2020,04:00:00,0.000822,0.000008,0.020342,0.00083
04/10/2020,05:00:00,0.001004,0.00001,0,0.001014
04/10/2020,06:00:00,0.000977,0.00001,0.399658,0.000987
04/10/2020,07:00:00,0.00095,0.00001,0.15356,0.00096
04/10/2020,08:00:00,0.000924,0.00001,0.00678,0.000934
04/10/2020,09:00:00,0.000899,0.00001,0,0.000909
04/10/2020,10:00:00,0.000874,0.00001,0,0.000884
04/10/2020,11:00:00,0.00085,0.00001,0,0.00086
04/10/2020,12:00:00,0.000827,0.00001,0,0.000837
04/10/2020,13:00:00,0.000805,0.00001,0,0.000815
04/10/2020,14:00:00,0.000782,0.00001,0,0.000792
04/10/2020,15:00:00,0.000761,0.00001,0,0.000771
04/10/2020,16:00:00,0.000775,0.000011,0,0.000786
04/10/2020,17:00:00,0.000754,0.000011,0,0.000765
04/10/2020,18:00:00,0.000733,0.000011,0,0.000744
04/10/2020,19:00:00,0.001035,0.000014,0,0.001049
04/10/2020,20:00:00,0.001015,0.000014,0,0.001029
04/10/2020,21:00:00,0.000987,0.000014,0,0.001001
04/10/2020,22:00:00,0.001329,0.000018,0,0.001347
04/10/2020,23:00:00,0.00144,0.000019,0,0.001459
05/10/2020,00:00:00,0.0014,0.000019,0,0.001419
05/10/2020,01:00:00,0.001362,0.000019,0,0.001381
05/10/2020,02:00:00,0.001324,0.000019,0.304502,0.001343
05/10/2020,03:00:00,0.001288,0.000019,0.215327,0.001307
05/10/2020,04:00:00,0.001253,0.000019,0.086296,0.001272
05/10/2020,05:00:00,0.001219,0.000019,0.527238,0.001238
05/10/2020,06:00:00,0.001185,0.000019,0.616608,0.001204
05/10/2020,07:00:00,0.001153,0.000019,0.087123,0.001172
05/10/2020,08:00:00,0.001121,0.000019,0.002906,0.00114
05/10/2020,09:00:00,0.00109,0.000019,0,0.001109
05/10/2020,10:00:00,0.001061,0.000019,0,0.00108
05/10/2020,11:00:00,0.001031,0.000019,0,0.00105
05/10/2020,12:00:00,0.001003,0.000019,0,0.001022
05/10/2020,13:00:00,0.000976,0.000019,0.142734,0.000995
05/10/2020,14:00:00,0.000949,0.000019,2.386184,0.000968
05/10/2020,15:00:00,0.000923,0.000019,0.301879,0.000942
05/10/2020,16:00:00,0.000898,0.000019,0.294672,0.000917
05/10/2020,17:00:00,0.000873,0.000019,5.267186,0.000892
05/10/2020,18:00:00,0.001162,0.000022,0.267344,0.001184
05/10/2020,19:00:00,0.001364,0.000024,0,0.001388
05/10/2020,20:00:00,0.001419,0.000025,0,0.001444
05/10/2020,21:00:00,0.002036,0.000032,0.114188,0.002068
05/10/2020,22:00:00,0.002852,0.000041,0.976412,0.002893
05/10/2020,23:00:00,0.002895,0.000042,0.049401,0.002937
06/10/2020,00:00:00,0.002816,0.000042,0,0.002858
06/10/2020,01:00:00,0.002739,0.000042,0,0.002781
06/10/2020,02:00:00,0.002664,0.000042,0,0.002706
06/10/2020,03:00:00,0.002591,0.000042,0.028547,0.002633
06/10/2020,04:00:00,0.00252,0.000042,0.220314,0.002562
06/10/2020,05:00:00,0.002657,0.000044,0.011139,0.002701
06/10/2020,06:00:00,0.007194,0.00009,0.171283,0.007284
06/10/2020,07:00:00,0.00768,0.000097,0.037264,0.007777
06/10/2020,08:00:00,0.008159,0.000104,0.258377,0.008263
06/10/2020,09:00:00,0.025177,0.000279,0.013076,0.025456
06/10/2020,10:00:00,0.025537,0.000289,0,0.025826
06/10/2020,11:00:00,0.024838,0.000289,0,0.025127
06/10/2020,12:00:00,0.024157,0.000289,0,0.024446
06/10/2020,13:00:00,0.023916,0.000293,0,0.024209
06/10/2020,14:00:00,0.027428,0.000335,0,0.027763
06/10/2020,15:00:00,0.026836,0.000336,0.114188,0.027172
06/10/2020,16:00:00,0.026101,0.000336,0.091454,0.026437
06/10/2020,17:00:00,0.025386,0.000335,0.004359,0.025721
06/10/2020,18:00:00,0.024691,0.000335,0.237891,0.025026
06/10/2020,19:00:00,0.024084,0.000336,0.012109,0.02442
06/10/2020,20:00:00,0.024361,0.000345,0,0.024706
06/10/2020,21:00:00,0.023694,0.000344,0,0.024038
06/10/2020,22:00:00,0.023772,0.000352,0,0.024124
06/10/2020,23:00:00,0.023238,0.000352,2.397951,0.02359
07/10/2020,00:00:00,0.023746,0.000364,0.388488,0.02411
07/10/2020,01:00:00,0.023104,0.000364,0.460796,0.023468
07/10/2020,02:00:00,0.022471,0.000363,2.049606,0.022834
07/10/2020,03:00:00,0.021856,0.000363,3.947493,0.022219
07/10/2020,04:00:00,0.021257,0.000363,0.195667,0.02162
07/10/2020,05:00:00,0.020675,0.000362,0,0.021037
07/10/2020,06:00:00,0.020108,0.000362,0.047576,0.02047
07/10/2020,07:00:00,0.020047,0.000367,0.002421,0.020414
07/10/2020,08:00:00,0.019886,0.00037,0,0.020256
07/10/2020,09:00:00,0.019341,0.00037,0.199832,0.019711
07/10/2020,10:00:00,0.019901,0.000381,0.01017,0.020282
07/10/2020,11:00:00,0.019375,0.000381,0,0.019756
